 0.NN   ;        1.Started ;              2.Total ;                 3.C  ;                  4.F ;                 5.D ;                 6.E ;
1       ;        0.000 ;               22.480 ;                1.064 ;               31.576 ;               14.547 ;               52.699 ;
2       ;        0.167 ;               22.474 ;                1.055 ;               31.576 ;               14.535 ;               52.699 ;
3       ;        0.333 ;               22.473 ;                1.036 ;               31.576 ;               14.535 ;               52.699 ;
4       ;        0.500 ;               22.502 ;                1.023 ;               31.657 ;               14.523 ;               52.699 ;
5       ;        0.667 ;               22.467 ;                1.005 ;               31.581 ;               14.523 ;               52.699 ;
6       ;        0.833 ;               22.465 ;                0.990 ;               31.592 ;               14.510 ;               52.699 ;
7       ;        1.000 ;               22.452 ;                0.977 ;               31.571 ;               14.504 ;               52.699 ;
8       ;        1.167 ;               22.262 ;                0.958 ;               31.139 ;               14.504 ;               52.699 ;
9       ;        1.333 ;               22.288 ;                0.947 ;               31.206 ;               14.498 ;               52.699 ;
10      ;         1.500 ;               22.291 ;                0.930 ;               31.216 ;               14.498 ;               52.699 ;
11      ;         1.667 ;               22.346 ;                0.912 ;               31.346 ;               14.498 ;               52.699 ;
12      ;         1.833 ;               22.325 ;                0.919 ;               31.298 ;               14.498 ;               52.699 ;
13      ;         2.000 ;               22.280 ;                0.802 ;               31.222 ;               14.492 ;               52.699 ;
14      ;         2.167 ;               22.273 ;                0.790 ;               31.209 ;               14.492 ;               52.699 ;
15      ;         2.333 ;               22.224 ;                0.255 ;               31.201 ;               14.492 ;               52.699 ;
16      ;         2.500 ;               22.234 ;                0.272 ;               31.227 ;               14.485 ;               52.699 ;
17      ;         2.667 ;               22.234 ;                0.270 ;               31.227 ;               14.485 ;               52.699 ;
18      ;         2.833 ;               22.233 ;                0.260 ;               31.227 ;               14.485 ;               52.699 ;
19      ;         3.000 ;               22.229 ;                0.234 ;               31.227 ;               14.479 ;               52.699 ;
20      ;         3.167 ;               22.227 ;                0.220 ;               31.227 ;               14.479 ;               52.699 ;
21      ;         3.333 ;               22.226 ;                0.207 ;               31.227 ;               14.479 ;               52.699 ;
22      ;         3.500 ;               22.214 ;                0.192 ;               31.227 ;               14.455 ;               52.699 ;
23      ;         3.667 ;               22.208 ;                0.178 ;               31.227 ;               14.443 ;               52.699 ;
24      ;         3.833 ;               22.206 ;                0.163 ;               31.227 ;               14.442 ;               52.699 ;
25      ;         4.000 ;               22.205 ;                0.144 ;               31.227 ;               14.442 ;               52.699 ;
26      ;         4.167 ;               22.201 ;                0.132 ;               31.227 ;               14.436 ;               52.699 ;
27      ;         4.333 ;               22.197 ;                0.115 ;               31.227 ;               14.430 ;               52.699 ;
28      ;         4.500 ;               22.196 ;                0.098 ;               31.227 ;               14.430 ;               52.699 ;
29      ;         4.667 ;               22.188 ;                0.077 ;               31.227 ;               14.418 ;               52.699 ;
30      ;         4.833 ;               22.184 ;                0.062 ;               31.227 ;               14.412 ;               52.699 ;
31      ;         5.000 ;               22.181 ;                0.048 ;               31.227 ;               14.406 ;               52.699 ;
32      ;         5.167 ;               22.179 ;                0.032 ;               31.227 ;               14.406 ;               52.699 ;
33      ;         5.333 ;               22.176 ;                0.021 ;               31.228 ;               14.399 ;               52.699 ;
34      ;         5.500 ;               22.172 ;                0.009 ;               31.228 ;               14.393 ;               52.699 ;
35      ;         5.667 ;               22.169 ;                0.000 ;               31.228 ;               14.387 ;               52.699 ;
36      ;         5.833 ;               22.161 ;                0.000 ;               31.228 ;               14.369 ;               52.699 ;
37      ;         6.000 ;               22.155 ;                0.000 ;               31.228 ;               14.356 ;               52.699 ;
38      ;         6.167 ;               22.153 ;                0.000 ;               31.228 ;               14.350 ;               52.699 ;
39      ;         6.333 ;               22.152 ;                0.000 ;               31.225 ;               14.350 ;               52.699 ;
40      ;         6.517 ;               22.150 ;                0.000 ;               31.222 ;               14.350 ;               52.699 ;
41      ;         6.683 ;               22.143 ;                0.000 ;               31.217 ;               14.338 ;               52.699 ;
42      ;         6.850 ;               22.139 ;                0.000 ;               31.209 ;               14.338 ;               52.699 ;
43      ;         7.017 ;               22.146 ;                0.000 ;               31.224 ;               14.338 ;               52.699 ;
44      ;         7.183 ;               22.146 ;                0.000 ;               31.224 ;               14.338 ;               52.699 ;
45      ;         7.350 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;
46      ;         7.517 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;
47      ;         7.683 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;
48      ;         7.850 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;
49      ;         8.017 ;               22.127 ;                0.000 ;               31.224 ;               14.295 ;               52.699 ;
50      ;         8.183 ;               22.124 ;                0.000 ;               31.224 ;               14.289 ;               52.699 ;
51      ;         8.350 ;               22.124 ;                0.000 ;               31.224 ;               14.289 ;               52.699 ;
52      ;         8.517 ;               22.124 ;                0.000 ;               31.224 ;               14.288 ;               52.699 ;
53      ;         8.683 ;               22.124 ;                0.000 ;               31.224 ;               14.288 ;               52.699 ;
54      ;         8.850 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;
55      ;         9.017 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;
56      ;         9.183 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;
