   0.NN   ; 1.input ; 1.speed ; 1.ksiD ; 1.density ; 1.output ; 1.delay ; 2.input ; 2.speed ; 2.ksiD ; 2.density ; 2.output ; 2.delay ; 3.input ; 3.speed ; 3.ksiD ; 3.density ; 3.output ; 3.delay ; 4.input ; 4.speed ; 4.ksiD ; 4.density ; 4.output ; 4.delay ; 5.input ; 5.speed ; 5.ksiD ; 5.density ; 5.output ; 5.delay ; 6.input ; 6.speed ; 6.ksiD ; 6.density ; 6.output ; 6.delay ; 7.input ; 7.speed ; 7.ksiD ; 7.density ; 7.output ; 7.delay ; 8.input ; 8.speed ; 8.ksiD ; 8.density ; 8.output ; 8.delay 
   0.0900 ;  0.0864 ;  0.7428 ; 1.0000 ;    0.1163 ;   0.0561 ;  0.0000 ;  0.0324 ;  0.7698 ; 0.5000 ;    0.0421 ;   0.0177 ;  0.0000 ;  0.0738 ;  0.4687 ; 0.7000 ;    0.1575 ;   0.2146 ;  0.0000 ;  0.0278 ;  0.5157 ; 0.8000 ;    0.0538 ;   0.1665 ;  0.0000 ;  0.1374 ;  1.1792 ; 1.5000 ;    0.1165 ;   0.7541 ;  0.0000 ;  1.1352 ;  1.6831 ; 1.0000 ;    0.6745 ;   1.1501 ;  0.0000 ;  0.4601 ;  1.3218 ; 1.5000 ;    0.3480 ;   0.2797 ;  0.0000 ;  0.6901 ;  0.7306 ; 0.6000 ;    0.9445 ;   0.1719 ;  0.0000 
   0.1300 ;  0.1053 ;  0.7483 ; 1.0000 ;    0.1407 ;   0.0666 ;  0.0000 ;  0.0657 ;  0.6964 ; 0.5000 ;    0.0944 ;   0.0304 ;  0.0000 ;  0.0970 ;  0.3972 ; 0.7000 ;    0.2441 ;   0.1897 ;  0.0000 ;  0.0006 ;  0.6805 ; 0.8000 ;    0.0008 ;   0.1611 ;  0.0000 ;  0.0163 ;  1.4193 ; 1.5000 ;    0.0115 ;   0.6323 ;  0.0000 ;  0.9831 ;  1.4836 ; 1.0000 ;    0.6627 ;   1.0131 ;  0.0000 ;  0.4052 ;  0.8174 ; 1.5000 ;    0.4957 ;   0.4797 ;  0.0000 ;  0.6078 ;  0.8274 ; 0.6000 ;    0.7347 ;   0.0213 ;  0.0000 
   0.3400 ;  0.2132 ;  0.7138 ; 1.0000 ;    0.2986 ;   0.1194 ;  0.0000 ;  0.3200 ;  0.3481 ; 0.5000 ;    0.9193 ;   0.0549 ;  0.0000 ;  0.1743 ;  0.7735 ; 0.7000 ;    0.2253 ;   0.3578 ;  0.0000 ;  0.5556 ;  1.2343 ; 0.8000 ;    0.4501 ;   0.3581 ;  0.0000 ;  0.6626 ;  0.5432 ; 1.5000 ;    1.2197 ;   0.2340 ;  0.0000 ;  0.9499 ;  1.1955 ; 1.0000 ;    0.7946 ;   0.1805 ;  0.0000 ;  0.0722 ;  1.7398 ; 1.5000 ;    0.0415 ;   0.6075 ;  0.0000 ;  0.1083 ;  0.7306 ; 0.6000 ;    0.1482 ;   0.2433 ;  0.0000 
   0.4200 ;  0.2515 ;  0.6749 ; 1.0000 ;    0.3726 ;   0.1324 ;  0.0000 ;  0.3909 ;  0.3126 ; 0.5000 ;    1.2506 ;   0.0598 ;  0.0000 ;  0.1922 ;  1.0234 ; 0.7000 ;    0.1878 ;   0.3398 ;  0.0000 ;  0.5379 ;  0.8567 ; 0.8000 ;    0.6279 ;   0.4684 ;  0.0000 ;  0.4847 ;  0.6654 ; 1.5000 ;    0.7283 ;   0.4057 ;  0.0000 ;  1.2139 ;  1.6864 ; 1.0000 ;    0.7198 ;   1.2631 ;  0.0000 ;  0.5052 ;  0.7769 ; 1.5000 ;    0.6503 ;   0.6083 ;  0.0000 ;  0.7578 ;  1.4325 ; 0.6000 ;    0.5290 ;   1.3131 ;  0.0000 
   0.4900 ;  0.2808 ;  0.6317 ; 1.0000 ;    0.4444 ;   0.1386 ;  0.0000 ;  0.4163 ;  0.3451 ; 0.5000 ;    1.2062 ;   0.0762 ;  0.0000 ;  0.2148 ;  1.1233 ; 0.7000 ;    0.1912 ;   0.1764 ;  0.0000 ;  0.3282 ;  0.5265 ; 0.8000 ;    0.6234 ;   0.3065 ;  0.0000 ;  0.1374 ;  1.1792 ; 1.5000 ;    0.1165 ;   0.7541 ;  0.0000 ;  1.2369 ;  1.2304 ; 1.0000 ;    1.0053 ;   0.2365 ;  0.0000 ;  0.0946 ;  0.8270 ; 1.5000 ;    0.1144 ;   0.3512 ;  0.0000 ;  0.1419 ;  2.0372 ; 0.6000 ;    0.0696 ;   0.2254 ;  0.4510 
   0.5300 ;  0.2951 ;  0.6041 ; 1.0000 ;    0.4885 ;   0.1398 ;  0.0000 ;  0.4130 ;  0.3884 ; 0.5000 ;    1.0632 ;   0.0932 ;  0.0000 ;  0.2330 ;  1.1101 ; 0.7000 ;    0.2099 ;   0.0777 ;  0.0000 ;  0.1843 ;  0.4422 ; 0.8000 ;    0.4168 ;   0.2509 ;  0.0000 ;  0.0163 ;  1.4193 ; 1.5000 ;    0.0115 ;   0.6323 ;  0.0000 ;  0.9609 ;  0.8236 ; 1.0000 ;    1.1667 ;   0.0126 ;  0.0000 ;  0.0051 ;  1.3348 ; 1.5000 ;    0.0038 ;   0.1151 ;  0.0000 ;  0.0076 ;  1.5737 ; 0.6000 ;    0.0048 ;   1.1561 ;  0.4090 
   0.8400 ;  0.3267 ;  0.3705 ; 1.0000 ;    0.8818 ;   0.1091 ;  0.0000 ;  0.0967 ;  0.9019 ; 0.5000 ;    0.1072 ;   0.3739 ;  0.0000 ;  0.4829 ;  0.3757 ; 0.7000 ;    1.2853 ;   0.0688 ;  0.0000 ;  0.5556 ;  1.2343 ; 0.8000 ;    0.4501 ;   0.1041 ;  0.0000 ;  0.3855 ;  0.7966 ; 1.5000 ;    0.4839 ;   0.5135 ;  0.0000 ;  0.6865 ;  1.0545 ; 1.0000 ;    0.6510 ;   0.7222 ;  0.8360 ;  0.2889 ;  1.6382 ; 1.5000 ;    0.1763 ;   0.7769 ;  0.0000 ;  0.4333 ;  0.7306 ; 0.6000 ;    0.5931 ;   0.2698 ;  0.4100 
   0.9800 ;  0.2917 ;  0.2918 ; 1.0000 ;    0.9997 ;   0.0900 ;  0.0000 ;  0.0016 ;  0.9131 ; 0.5000 ;    0.0018 ;   0.1019 ;  0.8470 ;  0.1919 ;  0.6797 ; 0.7000 ;    0.2823 ;   0.2317 ;  0.0000 ;  0.3642 ;  0.5624 ; 0.8000 ;    0.6476 ;   0.0040 ;  0.8500 ;  0.0363 ;  1.4891 ; 1.5000 ;    0.0244 ;   0.1341 ;  0.0000 ;  0.3699 ;  0.9179 ; 1.0000 ;    0.4029 ;   0.6071 ;  0.9070 ;  0.2428 ;  0.8933 ; 1.5000 ;    0.2718 ;   0.0151 ;  0.0000 ;  0.3642 ;  2.0623 ; 0.6000 ;    0.1766 ;   0.0099 ;  0.4540 
   0.9900 ;  0.2882 ;  0.2875 ; 1.0000 ;    1.0022 ;   0.0889 ;  0.0000 ;  0.0004 ;  0.9049 ; 0.5000 ;    0.0005 ;   0.1182 ;  0.8430 ;  0.2071 ;  0.7147 ; 0.7000 ;    0.2898 ;   0.2544 ;  0.0000 ;  0.3282 ;  0.5265 ; 0.8000 ;    0.6234 ;   0.0037 ;  0.8530 ;  0.0637 ;  1.4668 ; 1.5000 ;    0.0434 ;   0.0647 ;  0.0000 ;  0.3229 ;  1.0196 ; 1.0000 ;    0.3167 ;   0.6743 ;  0.9110 ;  0.2697 ;  0.7899 ; 1.5000 ;    0.3414 ;   0.0359 ;  0.0000 ;  0.4046 ;  2.0372 ; 0.6000 ;    0.1986 ;   0.0023 ;  0.4510 
   1.2100 ;  0.1876 ;  0.2523 ; 1.0000 ;    0.7433 ;   0.0814 ;  0.0000 ;  0.1565 ;  0.5410 ; 0.5000 ;    0.2893 ;   0.5287 ;  0.6650 ;  0.6101 ;  1.0942 ; 0.7000 ;    0.5576 ;   0.2315 ;  0.8580 ;  0.1512 ;  1.1016 ; 0.8000 ;    0.1372 ;   0.3361 ;  0.9370 ;  0.5293 ;  0.6114 ; 1.5000 ;    0.8656 ;   0.3618 ;  0.0000 ;  0.9295 ;  0.7150 ; 1.0000 ;    1.3000 ;   0.5258 ;  0.8470 ;  0.2103 ;  1.6121 ; 1.5000 ;    0.1305 ;   0.0459 ;  1.1820 ;  0.3155 ;  1.9843 ; 0.6000 ;    0.1590 ;   0.5936 ;  0.4550 
