              0.Model ;      0.OutputFactors ;       0.Observations ;        0.Constraints ;                0.SSE ;                0.MSE ;           0.stDevMSE ;                  0.A ;              1.input ;              1.speed ;              2.input ;              2.speed ;              4.input ;              4.speed ;              5.input ;              5.speed ;            8.density 
                    1 ;             8.output ;            9000,0000 ;              10,0000 ;            3914,2138 ;               0,4354 ;               0,6598 ;               2,3045 ;               0,4876 ;              -0,2674 ;              -0,6290 ;              -0,9600 ;              -0,4127 ;              -0,0233 ;              -0,4074 ;              -0,6636 ;                    - 
                    2 ;             8.output ;            9000,0000 ;              10,0000 ;            4385,5592 ;               0,4878 ;               0,6984 ;               1,5921 ;               0,6338 ;              -0,2083 ;              -1,1724 ;              -1,1240 ;              -0,6361 ;               0,0326 ;               0,7435 ;                    - ;              -0,3109 
                    3 ;             8.output ;            9000,0000 ;              10,0000 ;            4485,3089 ;               0,4989 ;               0,7063 ;               2,3441 ;               0,6307 ;              -0,2091 ;              -1,1605 ;              -1,1215 ;              -0,6309 ;               0,0304 ;                    - ;              -0,5105 ;              -0,3037 
                    4 ;             8.output ;            9000,0000 ;              10,0000 ;            4486,7039 ;               0,4991 ;               0,7065 ;               2,3723 ;               0,6299 ;              -0,2093 ;              -1,1583 ;              -1,1211 ;              -0,6072 ;                    - ;              -0,0105 ;              -0,5167 ;              -0,3022 
                    5 ;             8.output ;            9000,0000 ;              10,0000 ;            5023,7598 ;               0,5588 ;               0,7475 ;               2,3448 ;               0,6077 ;              -0,2151 ;              -1,0774 ;              -1,0959 ;                    - ;              -0,1785 ;              -0,0728 ;              -0,5392 ;              -0,2553 
                    6 ;             8.output ;            9000,0000 ;              10,0000 ;            4295,0257 ;               0,4778 ;               0,6912 ;               1,3482 ;               0,6175 ;              -0,2145 ;               0,3254 ;                    - ;              -0,6127 ;               0,0282 ;              -0,0353 ;              -0,5239 ;              -0,2782 
                    7 ;             8.output ;            9000,0000 ;              10,0000 ;            4541,2796 ;               0,5051 ;               0,7107 ;               1,7203 ;               0,6140 ;              -0,2160 ;                    - ;              -0,4698 ;              -0,6050 ;               0,0250 ;              -0,0544 ;              -0,5323 ;              -0,2670 
                    8 ;             8.output ;            9000,0000 ;              10,0000 ;            4700,4108 ;               0,5228 ;               0,7231 ;               2,2362 ;               0,7134 ;                    - ;              -1,1673 ;              -1,1238 ;              -0,6327 ;               0,0309 ;              -0,0043 ;              -0,5143 ;              -0,3076 
                    9 ;             8.output ;            9000,0000 ;              10,0000 ;            5005,0200 ;               0,5567 ;               0,7461 ;               2,5059 ;                    - ;              -0,3184 ;              -1,1375 ;              -1,1136 ;              -0,6211 ;               0,0275 ;              -0,0243 ;              -0,5214 ;              -0,2902 
                   10 ;             7.output ;            9000,0000 ;              10,0000 ;            2004,4138 ;               0,2230 ;               0,4722 ;               0,2242 ;              -0,4670 ;               0,0737 ;              -1,2839 ;              -0,7349 ;               0,4291 ;              -0,0882 ;               1,2386 ;               0,4853 ;                    - 
                   11 ;             7.output ;            9000,0000 ;              10,0000 ;            2208,4415 ;               0,2457 ;               0,4956 ;               1,1112 ;              -0,3778 ;               0,1105 ;              -1,6146 ;              -0,8366 ;               0,2937 ;              -0,0559 ;               0,6502 ;                    - ;              -0,1884 
                   12 ;             7.output ;            9000,0000 ;              10,0000 ;            2511,6821 ;               0,2794 ;               0,5286 ;               1,6840 ;              -0,3853 ;               0,1082 ;              -1,5856 ;              -0,8285 ;               0,3063 ;              -0,0598 ;                    - ;              -0,3735 ;              -0,1714 
                   13 ;             7.output ;            9000,0000 ;              10,0000 ;            5085,3395 ;               0,5657 ;               0,7521 ;               0,2186 ;              -0,3730 ;               0,1118 ;              -1,6317 ;              -0,8401 ;               0,2463 ;                    - ;               1,5019 ;               0,5832 ;              -0,1991 
                   14 ;             7.output ;            9000,0000 ;              10,0000 ;            4873,9858 ;               0,5422 ;               0,7363 ;               0,2580 ;              -0,3638 ;               0,1142 ;              -1,6661 ;              -0,8512 ;                    - ;               0,0418 ;               1,5270 ;               0,5921 ;              -0,2187 
                   15 ;             7.output ;            9000,0000 ;              10,0000 ;            5933,2586 ;               0,6600 ;               0,8124 ;              -0,4964 ;              -0,3842 ;               0,1075 ;              -0,5161 ;                    - ;               0,3013 ;              -0,0550 ;               1,4770 ;               0,5751 ;              -0,1778 
                   16 ;             7.output ;            9000,0000 ;              10,0000 ;            5609,0471 ;               0,6239 ;               0,7899 ;              -0,6312 ;              -0,3978 ;               0,1018 ;                    - ;               0,0749 ;               0,3239 ;              -0,0610 ;               1,4324 ;               0,5579 ;              -0,1455 
                   17 ;             7.output ;            9000,0000 ;              10,0000 ;            5956,2552 ;               0,6625 ;               0,8140 ;               0,3164 ;              -0,4184 ;                    - ;              -1,6245 ;              -0,8382 ;               0,2887 ;              -0,0537 ;               1,4955 ;               0,5806 ;              -0,1945 
                   18 ;             7.output ;            9000,0000 ;              10,0000 ;            5802,8093 ;               0,6455 ;               0,8034 ;               0,1633 ;                    - ;               0,1763 ;              -1,6418 ;              -0,8442 ;               0,2819 ;              -0,0517 ;               1,5071 ;               0,5848 ;              -0,2047 
