              0.Model ;      0.OutputFactors ;       0.Observations ;        0.Constraints ;                0.SSE ;                0.MSE ;           0.stDevMSE ;              1.input ;              1.speed ;              2.input ;              2.speed ;              4.input ;              4.speed ;              5.input ;              5.speed ;            8.density 
                    1 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0819 ;              -0,0677 ;              -0,1323 ;              -0,3033 ;              -0,1219 ;              -0,0103 ;              -0,1370 ;              -0,3348 ;                    - 
                    2 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1065 ;              -0,0527 ;              -0,2466 ;              -0,3551 ;              -0,1880 ;               0,0144 ;               0,2500 ;                    - ;              -0,2647 
                    3 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1060 ;              -0,0529 ;              -0,2441 ;              -0,3543 ;              -0,1864 ;               0,0134 ;                    - ;              -0,2575 ;              -0,2585 
                    4 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1059 ;              -0,0530 ;              -0,2436 ;              -0,3542 ;              -0,1794 ;                    - ;              -0,0035 ;              -0,2606 ;              -0,2573 
                    5 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1021 ;              -0,0544 ;              -0,2266 ;              -0,3462 ;                    - ;              -0,0788 ;              -0,0245 ;              -0,2720 ;              -0,2174 
                    6 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1038 ;              -0,0543 ;               0,0684 ;                    - ;              -0,1811 ;               0,0125 ;              -0,0119 ;              -0,2642 ;              -0,2369 
                    7 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1032 ;              -0,0547 ;                    - ;              -0,1484 ;              -0,1788 ;               0,0110 ;              -0,0183 ;              -0,2685 ;              -0,2273 
                    8 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1199 ;                    - ;              -0,2455 ;              -0,3551 ;              -0,1870 ;               0,0136 ;              -0,0015 ;              -0,2595 ;              -0,2619 
                    9 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0806 ;              -0,2393 ;              -0,3518 ;              -0,1835 ;               0,0121 ;              -0,0082 ;              -0,2630 ;              -0,2470 
                   10 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1079 ;               0,0256 ;              -0,3712 ;              -0,3191 ;               0,1743 ;              -0,0535 ;               0,5724 ;               0,3365 ;                    - 
                   11 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0873 ;               0,0384 ;              -0,4668 ;              -0,3632 ;               0,1193 ;              -0,0339 ;               0,3005 ;                    - ;              -0,2205 
                   12 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0890 ;               0,0376 ;              -0,4584 ;              -0,3597 ;               0,1244 ;              -0,0363 ;                    - ;              -0,2590 ;              -0,2006 
                   13 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0861 ;               0,0389 ;              -0,4717 ;              -0,3648 ;               0,1000 ;                    - ;               0,6940 ;               0,4043 ;              -0,2329 
                   14 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0840 ;               0,0397 ;              -0,4816 ;              -0,3696 ;                    - ;               0,0254 ;               0,7056 ;               0,4105 ;              -0,2559 
                   15 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0887 ;               0,0374 ;              -0,1492 ;                    - ;               0,1224 ;              -0,0334 ;               0,6825 ;               0,3987 ;              -0,2080 
                   16 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0919 ;               0,0354 ;                    - ;               0,0325 ;               0,1316 ;              -0,0370 ;               0,6619 ;               0,3867 ;              -0,1702 
                   17 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0966 ;                    - ;              -0,4696 ;              -0,3640 ;               0,1173 ;              -0,0326 ;               0,6911 ;               0,4025 ;              -0,2276 
                   18 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0613 ;              -0,4746 ;              -0,3666 ;               0,1145 ;              -0,0314 ;               0,6964 ;               0,4054 ;              -0,2395 
