                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
   1.input ;               1,0000 ;               0,0002 ;                  NaN ;                  NaN ;                  NaN ;              -0,0010 ;              -0,0025 ;               0,0008 ;                  NaN ;                  NaN ;               0,0004 ;              -0,0150 ;                  NaN ;              -0,0003 ;                  NaN ;                  NaN ;                  NaN ;              -0,0343 ;               0,0003 ;               0,0001 ;                  NaN ;                  NaN ;              -0,0014 ;              -0,0508 ;              -0,0000 ;               0,0001 ;                  NaN ;                  NaN ;               0,0000 ;              -0,0303 ;                  NaN ;               0,0001 ;                  NaN ;                  NaN ;               0,0031 ;              -0,0533 ;               0,0077 ;               0,0003 ;                  NaN ;                  NaN ;              -0,0044 ;              -0,0548 ;               0,0051 ;               0,0005 ;                  NaN ;               0,0000 ;               0,0016 ;               0,0216 
   1.speed ;               0,0018 ;               1,0000 ;                  NaN ;                  NaN ;                  NaN ;               0,0013 ;              -0,0041 ;               0,0014 ;                  NaN ;                  NaN ;               0,0033 ;              -0,0571 ;                  NaN ;              -0,0035 ;                  NaN ;                  NaN ;                  NaN ;              -0,0665 ;              -0,0089 ;              -0,0030 ;                  NaN ;                  NaN ;              -0,0103 ;              -0,1776 ;               0,0062 ;               0,0010 ;                  NaN ;                  NaN ;               0,0016 ;              -0,0039 ;                  NaN ;               0,0010 ;                  NaN ;                  NaN ;               0,0035 ;              -0,2325 ;               0,0087 ;               0,0018 ;                  NaN ;                  NaN ;              -0,0050 ;              -0,0800 ;               0,0058 ;              -0,0005 ;                  NaN ;              -0,0001 ;              -0,0002 ;              -0,3285 
    1.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 1.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
  1.output ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
   1.delay ;              -0,0057 ;               0,0008 ;                  NaN ;                  NaN ;                  NaN ;               1,0000 ;              -0,0021 ;               0,0007 ;                  NaN ;                  NaN ;               0,0027 ;               0,4606 ;                  NaN ;               0,0002 ;                  NaN ;                  NaN ;                  NaN ;               0,8913 ;               0,0026 ;               0,0009 ;                  NaN ;                  NaN ;               0,0379 ;               1,3077 ;              -0,0056 ;              -0,0021 ;                  NaN ;                  NaN ;              -0,0014 ;               1,2022 ;                  NaN ;              -0,0002 ;                  NaN ;                  NaN ;               0,0015 ;               1,5460 ;               0,0039 ;               0,0006 ;                  NaN ;                  NaN ;              -0,0013 ;               1,4835 ;               0,0026 ;              -0,0001 ;                  NaN ;               0,0000 ;               0,0007 ;               1,3671 
   2.input ;              -0,0039 ;              -0,0007 ;                  NaN ;                  NaN ;                  NaN ;              -0,0006 ;               1,0000 ;              -0,3333 ;                  NaN ;                  NaN ;              -0,0755 ;              -0,4516 ;                  NaN ;               0,0010 ;                  NaN ;                  NaN ;                  NaN ;               0,0045 ;               0,0023 ;               0,0008 ;                  NaN ;                  NaN ;               0,0041 ;              -0,0044 ;              -0,0002 ;               0,0006 ;                  NaN ;                  NaN ;              -0,0010 ;               0,0010 ;                  NaN ;              -0,0012 ;                  NaN ;                  NaN ;              -0,0053 ;              -0,0261 ;              -0,0134 ;              -0,0001 ;                  NaN ;                  NaN ;              -0,0020 ;               0,0226 ;              -0,0089 ;              -0,0003 ;                  NaN ;              -0,0000 ;               0,0027 ;               0,0472 
   2.speed ;               0,0116 ;               0,0021 ;                  NaN ;                  NaN ;                  NaN ;               0,0017 ;              -3,0007 ;               1,0000 ;                  NaN ;                  NaN ;               0,2266 ;               1,3550 ;                  NaN ;              -0,0029 ;                  NaN ;                  NaN ;                  NaN ;              -0,0135 ;              -0,0068 ;              -0,0023 ;                  NaN ;                  NaN ;              -0,0124 ;               0,0133 ;               0,0006 ;              -0,0018 ;                  NaN ;                  NaN ;               0,0030 ;              -0,0030 ;                  NaN ;               0,0036 ;                  NaN ;                  NaN ;               0,0160 ;               0,0783 ;               0,0401 ;               0,0004 ;                  NaN ;                  NaN ;               0,0060 ;              -0,0680 ;               0,0267 ;               0,0010 ;                  NaN ;               0,0001 ;              -0,0081 ;              -0,1417 
    2.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 2.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
  2.output ;               0,0055 ;               0,0056 ;                  NaN ;                  NaN ;                  NaN ;               0,0072 ;              -0,7443 ;               0,2481 ;                  NaN ;                  NaN ;               1,0000 ;              -0,2046 ;                  NaN ;              -0,0031 ;                  NaN ;                  NaN ;                  NaN ;               0,2243 ;              -0,7785 ;              -0,2595 ;                  NaN ;                  NaN ;              -0,7801 ;              -0,0887 ;              -0,0039 ;               0,0006 ;                  NaN ;                  NaN ;              -0,0406 ;              -0,0574 ;                  NaN ;               0,1772 ;                  NaN ;                  NaN ;               0,0188 ;               0,6436 ;               0,0470 ;               0,0004 ;                  NaN ;                  NaN ;              -0,0016 ;              -0,0042 ;               0,0313 ;              -0,0958 ;                  NaN ;               0,0003 ;              -0,0031 ;              -1,6183 
