                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
   1.input ;               1,0000 ;              -0,2591 ;                  NaN ;               0,8573 ;               0,9994 ;               0,0076 ;              -0,0036 ;              -0,0003 ;                  NaN ;              -0,0022 ;               0,0069 ;              -0,0049 ;               0,4637 ;               0,0001 ;               0,0000 ;               0,2668 ;              -0,2956 ;               0,0007 ;              -0,0027 ;              -0,0022 ;              -0,0000 ;              -0,0018 ;              -0,0021 ;              -0,0009 ;              -0,0003 ;               0,0004 ;                  NaN ;              -0,0005 ;               0,0011 ;              -0,0004 ;              -0,1903 ;               0,0014 ;                  NaN ;              -0,1469 ;               0,1259 ;               0,0010 ;               0,1259 ;              -0,0000 ;                  NaN ;               0,2144 ;              -0,1239 ;              -0,0003 ;               0,1259 ;              -0,0003 ;              -0,0000 ;               0,0861 ;               0,1059 ;              -0,0013 
   1.speed ;              -0,2591 ;               1,0000 ;                  NaN ;              -0,6467 ;              -0,2274 ;              -0,1108 ;              -0,0026 ;               0,0065 ;                  NaN ;              -0,0038 ;              -0,0064 ;               0,0083 ;              -0,1098 ;               0,0000 ;               0,0000 ;               0,1591 ;              -0,0288 ;              -0,0014 ;               0,0027 ;               0,0011 ;              -0,0000 ;               0,0025 ;               0,0011 ;              -0,0010 ;               0,0001 ;              -0,0002 ;                  NaN ;               0,0005 ;              -0,0009 ;               0,0000 ;              -0,0187 ;              -0,0016 ;                  NaN ;               0,1430 ;               0,0457 ;              -0,0014 ;               0,0457 ;               0,0000 ;                  NaN ;               0,0524 ;               0,0528 ;               0,0010 ;               0,0457 ;               0,0004 ;              -0,0000 ;               0,0352 ;              -0,0972 ;               0,0012 
    1.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 1.density ;               0,8573 ;              -0,6467 ;                  NaN ;               1,0000 ;               0,8423 ;               0,0558 ;              -0,2539 ;               0,1884 ;                  NaN ;              -0,2283 ;               0,1356 ;               0,0234 ;               0,5062 ;               0,0485 ;               0,0000 ;               0,2089 ;              -0,0693 ;               0,0364 ;              -0,0212 ;              -0,0159 ;              -0,0000 ;              -0,0149 ;              -0,0170 ;              -0,0037 ;               0,0045 ;              -0,0035 ;                  NaN ;               0,0036 ;               0,0022 ;              -0,0059 ;              -0,0503 ;               0,0030 ;                  NaN ;              -0,1039 ;               0,1096 ;               0,0010 ;               0,1096 ;              -0,0001 ;                  NaN ;               0,1480 ;              -0,0860 ;              -0,0000 ;               0,1096 ;              -0,0005 ;              -0,0000 ;               0,1216 ;               0,1077 ;              -0,0016 
  1.output ;               0,9994 ;              -0,2274 ;                  NaN ;               0,8423 ;               1,0000 ;               0,0045 ;              -0,0050 ;               0,0055 ;                  NaN ;              -0,0051 ;               0,0006 ;               0,0041 ;               0,4584 ;              -0,0017 ;               0,0000 ;               0,2713 ;              -0,3011 ;               0,0025 ;              -0,0024 ;              -0,0028 ;              -0,0000 ;              -0,0012 ;              -0,0025 ;              -0,0018 ;              -0,0005 ;               0,0006 ;                  NaN ;              -0,0008 ;               0,0013 ;              -0,0003 ;              -0,1938 ;               0,0012 ;                  NaN ;              -0,1450 ;               0,1286 ;               0,0009 ;               0,1286 ;               0,0001 ;                  NaN ;               0,2189 ;              -0,1247 ;              -0,0003 ;               0,1286 ;              -0,0004 ;              -0,0000 ;               0,0871 ;               0,1014 ;              -0,0014 
   1.delay ;               0,0076 ;              -0,1108 ;                  NaN ;               0,0558 ;               0,0045 ;               1,0000 ;              -0,0021 ;              -0,0009 ;                  NaN ;              -0,0006 ;               0,0048 ;               0,0017 ;               0,0063 ;              -0,0306 ;               0,0000 ;              -0,0101 ;               0,0003 ;               0,0160 ;              -0,0028 ;              -0,0038 ;              -0,0000 ;              -0,0006 ;               0,0016 ;               0,0078 ;               0,0213 ;              -0,0225 ;                  NaN ;               0,0197 ;              -0,0136 ;              -0,0025 ;              -0,0091 ;               0,0030 ;                  NaN ;              -0,0268 ;               0,0001 ;               0,0137 ;               0,0001 ;              -0,0166 ;                  NaN ;               0,0021 ;              -0,0040 ;               0,0306 ;               0,0001 ;               0,0006 ;              -0,0000 ;              -0,0042 ;               0,0089 ;               0,0165 
   2.input ;              -0,0036 ;              -0,0026 ;                  NaN ;              -0,2539 ;              -0,0050 ;              -0,0021 ;               1,0000 ;              -0,8661 ;                  NaN ;               0,9409 ;              -0,3186 ;              -0,3147 ;              -0,2854 ;              -0,0085 ;              -0,0000 ;              -0,3109 ;              -0,3625 ;               0,0015 ;              -0,0001 ;               0,0003 ;               0,0000 ;              -0,0003 ;               0,0003 ;               0,0003 ;              -0,0019 ;               0,0012 ;                  NaN ;              -0,0016 ;              -0,0012 ;               0,0027 ;              -0,2339 ;               0,0000 ;                  NaN ;              -0,2144 ;              -0,2042 ;               0,0000 ;              -0,2042 ;               0,0014 ;                  NaN ;              -0,1530 ;              -0,0989 ;              -0,0026 ;              -0,2042 ;              -0,0001 ;               0,0000 ;              -0,2678 ;               0,1361 ;              -0,0002 
   2.speed ;              -0,0003 ;               0,0065 ;                  NaN ;               0,1884 ;               0,0055 ;              -0,0009 ;              -0,8661 ;               1,0000 ;                  NaN ;              -0,9184 ;              -0,0755 ;               0,7314 ;              -0,0646 ;               0,0076 ;              -0,0000 ;               0,0394 ;               0,2224 ;               0,0015 ;               0,0001 ;              -0,0002 ;               0,0000 ;               0,0003 ;              -0,0002 ;              -0,0002 ;               0,0013 ;              -0,0005 ;                  NaN ;               0,0010 ;               0,0017 ;              -0,0025 ;               0,1442 ;              -0,0002 ;                  NaN ;               0,1074 ;               0,2011 ;               0,0001 ;               0,2011 ;              -0,0012 ;                  NaN ;               0,2066 ;               0,0042 ;               0,0023 ;               0,2011 ;               0,0002 ;               0,0000 ;               0,1844 ;              -0,1945 ;               0,0002 
    2.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 2.density ;              -0,0022 ;              -0,0038 ;                  NaN ;              -0,2283 ;              -0,0051 ;              -0,0006 ;               0,9409 ;              -0,9184 ;                  NaN ;               1,0000 ;              -0,2542 ;              -0,4398 ;              -0,2283 ;              -0,0093 ;              -0,0000 ;              -0,2764 ;              -0,3143 ;               0,0056 ;               0,1740 ;              -0,0777 ;               0,0000 ;               0,2382 ;              -0,0274 ;              -0,2028 ;              -0,0016 ;               0,0015 ;                  NaN ;              -0,0021 ;               0,0028 ;               0,0015 ;              -0,2119 ;               0,0660 ;                  NaN ;              -0,2314 ;              -0,2283 ;               0,0102 ;              -0,2283 ;               0,0014 ;                  NaN ;              -0,2112 ;              -0,0466 ;              -0,0023 ;              -0,2283 ;               0,0055 ;               0,0000 ;              -0,2540 ;               0,1301 ;               0,0166 
