              0.Model ;      0.OutputFactors ;       0.Observations ;        0.Constraints ;                0.SSE ;                0.MSE ;           0.stDevMSE ;                  0.A ;              1.input ;              1.speed ;              2.input ;              2.speed ;              4.input ;              4.speed ;              5.input ;              5.speed ;              8.speed 
                    1 ;             8.output ;            9000,0000 ;              10,0000 ;            3914,2138 ;               0,4354 ;               0,6598 ;               2,3045 ;               0,4876 ;              -0,2674 ;              -0,6290 ;              -0,9600 ;              -0,4127 ;              -0,0233 ;              -0,4074 ;              -0,6636 ;                    - 
                    2 ;             8.output ;            9000,0000 ;              10,0000 ;            4940,9101 ;               0,5496 ;               0,7414 ;               0,4433 ;               0,5035 ;              -0,2668 ;              -0,6188 ;              -0,9520 ;              -0,4097 ;              -0,0224 ;               0,5578 ;                    - ;               0,6299 
                    3 ;             8.output ;            9000,0000 ;              10,0000 ;            5796,4639 ;               0,6448 ;               0,8030 ;               1,0342 ;               0,5037 ;              -0,2666 ;              -0,6194 ;              -0,9530 ;              -0,4097 ;              -0,0230 ;                    - ;              -0,4037 ;               0,6299 
                    4 ;             8.output ;            9000,0000 ;              10,0000 ;            6423,8395 ;               0,7146 ;               0,8453 ;               1,4112 ;               0,5040 ;              -0,2662 ;              -0,6195 ;              -0,9534 ;              -0,4273 ;                    - ;              -0,4011 ;              -0,6620 ;               0,6299 
                    5 ;             8.output ;            9000,0000 ;              10,0000 ;            6457,4097 ;               0,7183 ;               0,8475 ;               1,4275 ;               0,5037 ;              -0,2639 ;              -0,6209 ;              -0,9537 ;                    - ;              -0,1612 ;              -0,4026 ;              -0,6624 ;               0,6301 
                    6 ;             8.output ;            9000,0000 ;              10,0000 ;            6629,1168 ;               0,7374 ;               0,8587 ;               0,5663 ;               0,5029 ;              -0,2666 ;               0,6208 ;                    - ;              -0,4097 ;              -0,0215 ;              -0,3965 ;              -0,6588 ;               0,6304 
                    7 ;             8.output ;            9000,0000 ;              10,0000 ;            6640,0755 ;               0,7386 ;               0,8594 ;               1,0734 ;               0,5042 ;              -0,2661 ;                    - ;              -0,5963 ;              -0,4099 ;              -0,0230 ;              -0,4007 ;              -0,6617 ;               0,6301 
                    8 ;             8.output ;            9000,0000 ;              10,0000 ;            6751,1669 ;               0,7510 ;               0,8666 ;               1,2789 ;               0,6071 ;                    - ;              -0,6197 ;              -0,9540 ;              -0,4083 ;              -0,0238 ;              -0,4039 ;              -0,6633 ;               0,6299 
                    9 ;             8.output ;            9000,0000 ;              10,0000 ;            7100,9035 ;               0,7899 ;               0,8887 ;               1,5545 ;                    - ;              -0,3522 ;              -0,6204 ;              -0,9531 ;              -0,4095 ;              -0,0240 ;              -0,4006 ;              -0,6618 ;               0,6291 
                   10 ;             7.output ;            9000,0000 ;              10,0000 ;            2004,4138 ;               0,2230 ;               0,4722 ;               0,2242 ;              -0,4670 ;               0,0737 ;              -1,2839 ;              -0,7349 ;               0,4291 ;              -0,0882 ;               1,2386 ;               0,4853 ;                    - 
                   11 ;             7.output ;            9000,0000 ;              10,0000 ;            2037,6608 ;               0,2267 ;               0,4761 ;               0,8088 ;              -0,4642 ;               0,0744 ;              -1,2832 ;              -0,7352 ;               0,4296 ;              -0,0891 ;               0,5360 ;                    - ;               0,0983 
                   12 ;             7.output ;            9000,0000 ;              10,0000 ;            2773,1309 ;               0,3085 ;               0,5554 ;               1,3007 ;              -0,4638 ;               0,0752 ;              -1,2838 ;              -0,7360 ;               0,4299 ;              -0,0899 ;                    - ;              -0,3123 ;               0,0981 
                   13 ;             7.output ;            9000,0000 ;              10,0000 ;            4385,9696 ;               0,4879 ;               0,6985 ;               0,0265 ;              -0,4641 ;               0,0737 ;              -1,2813 ;              -0,7329 ;               0,3634 ;                    - ;               1,2417 ;               0,4869 ;               0,0983 
                   14 ;             7.output ;            9000,0000 ;              10,0000 ;            4026,0968 ;               0,4478 ;               0,6692 ;               0,0873 ;              -0,4643 ;               0,0716 ;              -1,2814 ;              -0,7339 ;                    - ;               0,0561 ;               1,2405 ;               0,4856 ;               0,0980 
                   15 ;             7.output ;            9000,0000 ;              10,0000 ;            5770,1781 ;               0,6418 ;               0,8012 ;              -0,5753 ;              -0,4653 ;               0,0736 ;              -0,3277 ;                    - ;               0,4295 ;              -0,0867 ;               1,2435 ;               0,4883 ;               0,0987 
                   16 ;             7.output ;            9000,0000 ;              10,0000 ;            5693,8279 ;               0,6334 ;               0,7958 ;              -0,6452 ;              -0,4639 ;               0,0741 ;                    - ;               0,0056 ;               0,4290 ;              -0,0870 ;               1,2415 ;               0,4869 ;               0,0987 
                   17 ;             7.output ;            9000,0000 ;              10,0000 ;            5823,8409 ;               0,6478 ;               0,8049 ;               0,1286 ;              -0,4931 ;                    - ;              -1,2825 ;              -0,7339 ;               0,4292 ;              -0,0882 ;               1,2401 ;               0,4858 ;               0,0983 
                   18 ;             7.output ;            9000,0000 ;              10,0000 ;            5572,4944 ;               0,6199 ;               0,7873 ;              -0,0298 ;                    - ;               0,1533 ;              -1,2820 ;              -0,7345 ;               0,4295 ;              -0,0878 ;               1,2385 ;               0,4850 ;               0,0990 
