              0.Model ;      0.OutputFactors ;       0.Observations ;        0.Constraints ;                0.SSE ;                0.MSE ;           0.stDevMSE ;              1.input ;              1.speed ;              2.input ;              2.speed ;              4.input ;              4.speed ;              5.input ;              5.speed ;              8.speed 
                    1 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0819 ;              -0,0677 ;              -0,1323 ;              -0,3033 ;              -0,1219 ;              -0,0103 ;              -0,1370 ;              -0,3348 ;                    - 
                    2 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0846 ;              -0,0675 ;              -0,1302 ;              -0,3008 ;              -0,1211 ;              -0,0099 ;               0,1876 ;                    - ;               0,4372 
                    3 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0846 ;              -0,0675 ;              -0,1303 ;              -0,3011 ;              -0,1211 ;              -0,0102 ;                    - ;              -0,2037 ;               0,4372 
                    4 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0847 ;              -0,0674 ;              -0,1303 ;              -0,3012 ;              -0,1263 ;                    - ;              -0,1349 ;              -0,3339 ;               0,4372 
                    5 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0846 ;              -0,0668 ;              -0,1306 ;              -0,3013 ;                    - ;              -0,0712 ;              -0,1354 ;              -0,3341 ;               0,4373 
                    6 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0845 ;              -0,0675 ;               0,1306 ;                    - ;              -0,1211 ;              -0,0095 ;              -0,1333 ;              -0,3323 ;               0,4375 
                    7 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0847 ;              -0,0673 ;                    - ;              -0,1884 ;              -0,1211 ;              -0,0101 ;              -0,1347 ;              -0,3338 ;               0,4373 
                    8 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,1020 ;                    - ;              -0,1303 ;              -0,3014 ;              -0,1207 ;              -0,0105 ;              -0,1358 ;              -0,3346 ;               0,4372 
                    9 ;             8.output ;                    - ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,0891 ;              -0,1305 ;              -0,3011 ;              -0,1210 ;              -0,0106 ;              -0,1347 ;              -0,3338 ;               0,4367 
                   10 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1079 ;               0,0256 ;              -0,3712 ;              -0,3191 ;               0,1743 ;              -0,0535 ;               0,5724 ;               0,3365 ;                    - 
                   11 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1072 ;               0,0259 ;              -0,3710 ;              -0,3192 ;               0,1745 ;              -0,0540 ;               0,2477 ;                    - ;               0,0937 
                   12 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1071 ;               0,0262 ;              -0,3711 ;              -0,3196 ;               0,1746 ;              -0,0545 ;                    - ;              -0,2165 ;               0,0936 
                   13 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1072 ;               0,0256 ;              -0,3704 ;              -0,3182 ;               0,1476 ;                    - ;               0,5738 ;               0,3375 ;               0,0938 
                   14 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1072 ;               0,0249 ;              -0,3704 ;              -0,3187 ;                    - ;               0,0340 ;               0,5732 ;               0,3367 ;               0,0935 
                   15 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1075 ;               0,0256 ;              -0,0947 ;                    - ;               0,1744 ;              -0,0526 ;               0,5746 ;               0,3385 ;               0,0941 
                   16 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1071 ;               0,0258 ;                    - ;               0,0024 ;               0,1742 ;              -0,0528 ;               0,5737 ;               0,3375 ;               0,0942 
                   17 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;              -0,1139 ;                    - ;              -0,3708 ;              -0,3186 ;               0,1743 ;              -0,0535 ;               0,5730 ;               0,3368 ;               0,0937 
                   18 ;             7.output ;                    - ;                    - ;                    - ;                    - ;                    - ;                    - ;               0,0533 ;              -0,3706 ;              -0,3189 ;               0,1744 ;              -0,0533 ;               0,5723 ;               0,3363 ;               0,0944 
