        epoch      ;  log10(epoch)     ;           MSE           ;         delta MSE       
                  1;             0,0000;        13,69732754466043;        13,69732754466043
                  2;             0,3010;         0,77057775766546;       -12,92674978699497
                  3;             0,4771;         0,76875121824651;        -0,00182653941895
                  4;             0,6021;         0,76859519543426;        -0,00015602281225
                  5;             0,6990;         0,76860228770891;         0,00000709227465
                  6;             0,7782;         0,76860218584857;        -0,00000010186034
                  7;             0,8451;         0,76906414329949;         0,00046195745092
                  8;             0,9031;         0,76934903328435;         0,00028488998486
                  9;             0,9542;         0,76939882384188;         0,00004979055753
                 10;             1,0000;         0,76941774828941;         0,00001892444753
                 11;             1,0414;         0,76942764105050;         0,00000989276109
                 12;             1,0792;         0,76943372395093;         0,00000608290043
                 13;             1,1139;         0,76943785281874;         0,00000412886781
                 14;             1,1461;         0,76944084807751;         0,00000299525877
                 15;             1,1761;         0,76944312716220;         0,00000227908469
                 16;             1,2041;         0,76944492455580;         0,00000179739360
                 17;             1,2304;         0,76944638204777;         0,00000145749197
                 18;             1,2553;         0,76944759041703;         0,00000120836926
                 19;             1,2788;         0,76944861049566;         0,00000102007863
                 20;             1,3010;         0,76944948459558;         0,00000087409992
                 21;             1,3222;         0,76945024307411;         0,00000075847853
                 22;             1,3424;         0,76945090829028;         0,00000066521617
                 23;             1,3617;         0,76945149708624;         0,00000058879596
                 24;             1,3802;         0,76945202239770;         0,00000052531146
                 25;             1,3979;         0,76945249433055;         0,00000047193285
                 26;             1,4150;         0,76945292089934;         0,00000042656879
                 27;             1,4314;         0,76945330854543;         0,00000038764609
                 28;             1,4472;         0,76945366250805;         0,00000035396262
                 29;             1,4624;         0,76945398709472;         0,00000032458667
                 30;             1,4771;         0,76945428588161;         0,00000029878689
                 31;             1,4914;         0,76945456186416;         0,00000027598255
                 32;             1,5051;         0,76945481757182;         0,00000025570766
                 33;             1,5185;         0,76945505515648;         0,00000023758466
                 34;             1,5315;         0,76945527646145;         0,00000022130497
                 35;             1,5441;         0,76945548307573;         0,00000020661428
                 36;             1,5563;         0,76945567637723;         0,00000019330150
                 37;             1,5682;         0,76945585756732;         0,00000018119009
                 38;             1,5798;         0,76945602769888;         0,00000017013156
                 39;             1,5911;         0,76945618769899;         0,00000016000011
                 40;             1,6021;         0,76945633838774;         0,00000015068875
                 41;             1,6128;         0,76945648049349;         0,00000014210575
                 42;             1,6232;         0,76945661466584;         0,00000013417235
                 43;             1,6335;         0,76945674148623;         0,00000012682039
                 44;             1,6435;         0,76945686147695;         0,00000011999072
                 45;             1,6532;         0,76945697510871;         0,00000011363176
                 46;             1,6628;         0,76945708280712;         0,00000010769841
                 47;             1,6721;         0,76945718495809;         0,00000010215097
                 48;             1,6812;         0,76945728191260;         0,00000009695451
                 49;             1,6902;         0,76945737399068;         0,00000009207808
                 50;             1,6990;         0,76945746148491;         0,00000008749423
                 51;             1,7076;         0,76945754466340;         0,00000008317849
                 52;             1,7160;         0,76945762377243;         0,00000007910903
                 53;             1,7243;         0,76945769903874;         0,00000007526631
                 54;             1,7324;         0,76945777067152;         0,00000007163278
                 55;             1,7404;         0,76945783886409;         0,00000006819257
                 56;             1,7482;         0,76945790379558;         0,00000006493149
                 57;             1,7559;         0,76945796563215;         0,00000006183657
                 58;             1,7634;         0,76945802452828;         0,00000005889613
                 59;             1,7709;         0,76945808062780;         0,00000005609952
                 60;             1,7782;         0,76945813406484;         0,00000005343704
                 61;             1,7853;         0,76945818496471;         0,00000005089987
                 62;             1,7924;         0,76945823344461;         0,00000004847990
                 63;             1,7993;         0,76945827961434;         0,00000004616973
