        epoch      ;  log10(epoch)     ;           MSE           ;         delta MSE       
                  1;             0,0000;        14,70431997266346;        14,70431997266346
                  2;             0,3010;        14,70431997266346;        -0,00000000000001
                  3;             0,4771;        14,70431997266346;        -0,00000000000001
                  4;             0,6021;        14,70431997266346;        -0,00000000000001
                  5;             0,6990;        14,70431997266346;        -0,00000000000001
                  6;             0,7782;        14,70431997266346;        -0,00000000000001
                  7;             0,8451;        14,70431997266346;        -0,00000000000001
                  8;             0,9031;        14,70431997266346;        -0,00000000000001
                  9;             0,9542;        14,70431997266346;        -0,00000000000001
                 10;             1,0000;        14,70431997266345;        -0,00000000000001
                 11;             1,0414;        14,70431997266331;        -0,00000000000014
                 12;             1,0792;        14,70431997266187;        -0,00000000000144
                 13;             1,1139;        14,70431997265304;        -0,00000000000883
                 14;             1,1461;        14,70431997259677;        -0,00000000005627
                 15;             1,1761;        14,70431997229723;        -0,00000000029954
                 16;             1,2041;        14,70431997093070;        -0,00000000136653
                 17;             1,2304;        14,70431996552080;        -0,00000000540990
                 18;             1,2553;        14,70431994669172;        -0,00000001882908
                 19;             1,2788;        14,70431988833030;        -0,00000005836142
                 20;             1,3010;        14,70431972526662;        -0,00000016306368
                 21;             1,3222;        14,70431930995984;        -0,00000041530678
                 22;             1,3424;        14,70431833604697;        -0,00000097391287
                 23;             1,3617;        14,70431621435005;        -0,00000212169692
                 24;             1,3802;        14,70431188644009;        -0,00000432790996
                 25;             1,3979;        14,70430356259246;        -0,00000832384763
                 26;             1,4150;        14,70428837440611;        -0,00001518818635
                 27;             1,4314;        14,70426193534438;        -0,00002643906173
                 28;             1,4472;        14,70421780065354;        -0,00004413469084
                 29;             1,4624;        14,70414680456708;        -0,00007099608646
                 30;             1,4771;        14,70403621701498;        -0,00011058755210
                 31;             1,4914;        14,70386858802777;        -0,00016762898721
                 32;             1,5051;        14,70362000618860;        -0,00024858183918
                 33;             1,5185;        14,70325722453471;        -0,00036278165389
                 34;             1,5315;        14,70273254974571;        -0,00052467478900
                 35;             1,5441;        14,70197414350186;        -0,00075840624385
                 36;             1,5563;        14,70086628171246;        -0,00110786178940
                 37;             1,5682;        14,69920537373693;        -0,00166090797553
