                  0.NN  ;              1.input ;              1.speed ;               1.ksiD ;            1.density ;             1.output ;              1.delay ;              2.input ;              2.speed ;               2.ksiD ;            2.density ;             2.output ;              2.delay ;              3.input ;              3.speed ;               3.ksiD ;            3.density ;             3.output ;              3.delay ;              4.input ;              4.speed ;               4.ksiD ;            4.density ;             4.output ;              4.delay ;              5.input ;              5.speed ;               5.ksiD ;            5.density ;             5.output ;              5.delay ;              6.input ;              6.speed ;               6.ksiD ;            6.density ;             6.output ;              6.delay ;              7.input ;              7.speed ;               7.ksiD ;            7.density ;             7.output ;              7.delay ;              8.input ;              8.speed ;               8.ksiD ;            8.density ;             8.output ;              8.delay 
   1.input ;               0,0000 ;               0,1665 ;                  NaN ;                  NaN ;                  NaN ;               0,1686 ;               0,1671 ;               0,1661 ;                  NaN ;                  NaN ;               0,1665 ;               0,1776 ;                  NaN ;               0,1668 ;                  NaN ;                  NaN ;                  NaN ;               0,1988 ;               0,1665 ;               0,1665 ;                  NaN ;                  NaN ;               0,1670 ;               0,2110 ;               0,1666 ;               0,1665 ;                  NaN ;                  NaN ;               0,1666 ;               0,2107 ;                  NaN ;               0,1665 ;                  NaN ;                  NaN ;               0,1635 ;               0,2128 ;               0,1635 ;               0,1662 ;                  NaN ;                  NaN ;               0,1680 ;               0,2324 ;               0,1635 ;               0,1659 ;                  NaN ;               0,1665 ;               0,1653 ;               0,1575 
   1.speed ;               0,4987 ;               0,0000 ;                  NaN ;                  NaN ;                  NaN ;               0,4965 ;               0,4999 ;               0,4981 ;                  NaN ;                  NaN ;               0,4985 ;               0,5407 ;                  NaN ;               0,5016 ;                  NaN ;                  NaN ;                  NaN ;               0,5613 ;               0,5016 ;               0,5016 ;                  NaN ;                  NaN ;               0,5020 ;               0,6541 ;               0,4969 ;               0,4980 ;                  NaN ;                  NaN ;               0,4985 ;               0,5046 ;                  NaN ;               0,4978 ;                  NaN ;                  NaN ;               0,4955 ;               0,7006 ;               0,4955 ;               0,4968 ;                  NaN ;                  NaN ;               0,5006 ;               0,5951 ;               0,4955 ;               0,4997 ;                  NaN ;               0,5009 ;               0,4992 ;               0,6370 
    1.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 1.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
  1.output ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
   1.delay ;               1,9596 ;               1,9582 ;                  NaN ;                  NaN ;                  NaN ;               0,0000 ;               1,9590 ;               1,9582 ;                  NaN ;                  NaN ;               1,9582 ;               1,6221 ;                  NaN ;               1,9584 ;                  NaN ;                  NaN ;                  NaN ;               1,1233 ;               1,9578 ;               1,9578 ;                  NaN ;                  NaN ;               1,9475 ;               0,8170 ;               1,9605 ;               1,9607 ;                  NaN ;                  NaN ;               1,9591 ;               0,2092 ;                  NaN ;               1,9589 ;                  NaN ;                  NaN ;               1,9571 ;               0,6182 ;               1,9571 ;               1,9578 ;                  NaN ;                  NaN ;               1,9590 ;               0,1765 ;               1,9571 ;               1,9587 ;                  NaN ;               1,9583 ;               1,9581 ;               1,3843 
   2.input ;               0,2090 ;               0,2088 ;                  NaN ;                  NaN ;                  NaN ;               0,2095 ;               0,0000 ;               0,4166 ;                  NaN ;                  NaN ;               0,2205 ;               0,5383 ;                  NaN ;               0,2077 ;                  NaN ;                  NaN ;                  NaN ;               0,2042 ;               0,2077 ;               0,2077 ;                  NaN ;                  NaN ;               0,2072 ;               0,2123 ;               0,2085 ;               0,2078 ;                  NaN ;                  NaN ;               0,2087 ;               0,2070 ;                  NaN ;               0,2097 ;                  NaN ;                  NaN ;               0,2137 ;               0,2310 ;               0,2137 ;               0,2086 ;                  NaN ;                  NaN ;               0,2090 ;               0,1812 ;               0,2137 ;               0,2089 ;                  NaN ;               0,2091 ;               0,2063 ;               0,1886 
   2.speed ;               0,6227 ;               0,6235 ;                  NaN ;                  NaN ;                  NaN ;               0,6212 ;               1,2499 ;               0,0000 ;                  NaN ;                  NaN ;               0,5882 ;              -0,3654 ;                  NaN ;               0,6268 ;                  NaN ;                  NaN ;                  NaN ;               0,6373 ;               0,6266 ;               0,6266 ;                  NaN ;                  NaN ;               0,6282 ;               0,6130 ;               0,6244 ;               0,6264 ;                  NaN ;                  NaN ;               0,6236 ;               0,6289 ;                  NaN ;               0,6206 ;                  NaN ;                  NaN ;               0,6086 ;               0,5567 ;               0,6086 ;               0,6241 ;                  NaN ;                  NaN ;               0,6227 ;               0,7062 ;               0,6086 ;               0,6232 ;                  NaN ;               0,6225 ;               0,6310 ;               0,6841 
    2.ksiD ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
 2.density ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN ;                  NaN 
